Partido_x,Localidad_x,link Indec,Velocidad (Mbps),Provincia,Accesos,Hogares Con Internet,Proyeccion_Nuevo_Acceso,KPI_Incremento_Internet
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,5.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,10.0,128.0,128.0,130.56,2.0000000000000018
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,15.0,42.0,42.0,42.84,2.000000000000008
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,30.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,50.0,12.0,12.0,12.24,2.0000000000000018
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,60.0,91.0,91.0,92.82000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,75.0,2.0,2.0,2.04,2.0000000000000018
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,100.0,36.0,36.0,36.72,1.999999999999997
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,150.0,1776.0,1776.0,1811.52,1.9999999999999991
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,300.0,2535.0,2535.0,2585.7,1.9999999999999927
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,500.0,370.0,370.0,377.40000000000003,2.000000000000009
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,1000.0,439.0,439.0,447.78000000000003,2.0000000000000067
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.0,1.0,1.0,1.02,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.5,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.75,7.0,7.0,7.140000000000001,2.000000000000008
BUENOS AIRES,Almirante Brown,Glew,6028010.0,1.0,4.0,4.0,4.08,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,2.0,15.0,15.0,15.3,2.000000000000005
BUENOS AIRES,Almirante Brown,Glew,6028010.0,3.0,5.0,5.0,5.1,1.9999999999999927
BUENOS AIRES,Almirante Brown,Glew,6028010.0,3.5,27.0,27.0,27.54,1.999999999999997
BUENOS AIRES,Almirante Brown,Glew,6028010.0,4.0,29.0,29.0,29.580000000000002,2.000000000000006
BUENOS AIRES,Almirante Brown,Glew,6028010.0,5.0,8.0,8.0,8.16,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,6.0,12.0,12.0,12.24,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,8.0,16.0,16.0,16.32,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,10.0,138.0,138.0,140.76,1.9999999999999933
BUENOS AIRES,Almirante Brown,Glew,6028010.0,15.0,8.0,8.0,8.16,2.0000000000000018
BUENOS AIRES,Almirante Brown,Glew,6028010.0,25.0,27.0,27.0,27.54,1.999999999999997
BUENOS AIRES,Almirante Brown,Glew,6028010.0,30.0,11735.0,11735.0,11969.7,2.000000000000006
BUENOS AIRES,Almirante Brown,Glew,6028010.0,50.0,134.0,134.0,136.68,2.0000000000000053
BUENOS AIRES,Almirante Brown,Glew,6028010.0,60.0,81.0,81.0,82.62,2.0000000000000058
BUENOS AIRES,Almirante Brown,Glew,6028010.0,75.0,2.0,2.0,2.04,2.0000000000000018
